PUMAKEY_WORK,Bus,Subway,CommuterRail,Ferry
06_03700,0,0,0,0
06_07500,1,0,1,0
06_08500,0,0,0,0
09_00100,1,1,1,0
09_00300,0,0,0,0
10_00100,0,0,1,0
12_01100,0,1,0,0
12_05700,0,0,0,0
12_10300,0,0,0,0
13_01090,0,0,0,0
13_03000,0,0,0,0
17_01701,0,0,0,0
17_03400,0,0,0,0
18_02300,0,0,0,0
21_01700,0,0,0,0
23_00200,0,0,0,0
24_01500,0,0,0,0
25_00390,0,0,0,0
25_03300,0,0,1,0
27_01300,0,0,0,0
27_01400,1,0,0,0
31_00800,0,0,0,0
34_00300,1,1,0,0
34_00400,1,0,0,0
34_00600,1,1,1,1
34_00900,0,0,1,0
34_01000,1,0,0,0
34_01100,0,0,0,0
34_01300,0,1,1,0
34_01500,0,1,0,0
34_01600,0,0,0,0
34_01800,0,0,1,0
34_02300,0,0,1,0
36_00200,0,0,0,0
36_00400,0,0,0,0
36_00700,0,0,0,0
36_01000,1,0,0,0
36_01900,0,0,0,0
36_02200,0,0,0,0
36_02700,0,0,0,0
36_02900,1,1,0,0
36_03000,0,0,0,0
36_03100,1,1,1,0
36_03200,1,1,1,0
36_03300,0,0,1,0
36_03700,1,1,1,0
36_03900,0,0,0,0
36_04000,1,1,0,1
36_04100,1,1,0,1
37_01400,0,0,0,0
39_00900,0,0,0,0
39_04100,0,0,0,0
42_01700,0,0,0,0
42_03100,0,0,0,0
42_03200,0,0,0,0
48_01900,0,0,0,0
48_04600,0,0,0,0
53_11600,0,0,0,0
81_00001,0,0,1,0
82_00001,0,0,0,0
83_00001,0,0,0,0
88_00001,0,0,0,0
